time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2,pH,charge_residual,COD_soluble,COD_particulate,COD_liquid_total,COD_gas,COD_total_with_gas,COD_liquid_inventory,COD_gas_inventory,COD_total_inventory,COD_gas_liquid_basis,COD_total_liquid_basis
0.0,0.012394,0.0055432,0.10741,0.012333,0.014003,0.017584,0.089315,2.51e-07,0.05549,0.095149,0.094468,0.13087,0.10792,0.020517,0.08422,0.043629,0.31222,0.93167,0.33839,0.33577,0.10112,0.67724,0.28484,17.2162,0.04,0.04082228173009905,3.4234366836621475e-08,5.914654137608905e-05,8.731946156804688e-05,0.00015659387181423822,0.0013928065387941654,0.08898248381960695,0.006166516180393045,0.0029667946941788646,0.09150120530582113,1.1e-05,1.6535,0.01354,7.465537699983146,3.3544000910268323e-13,0.44494245099999996,20.453736,20.898678451,1.653511,22.552189450999997,71055.50673339999,496.0533,71551.56003339999,0.1458980294117647,21.044576480411763
1.0,0.013659665555244048,0.0056037350885908685,0.1214356836806568,0.012529386865627743,0.014307276384896365,0.018457230163498223,0.09664129242338439,2.653630744366942e-07,0.03792044840886037,0.09406836713195105,0.09448570908076954,0.13102197840778523,0.10796752826730317,0.0226705898328066,0.08518972049602538,0.048383352598843195,0.3141903282114858,0.9323394124439428,0.33992058601850805,0.33610517050194233,0.10132451117279749,0.678547574261714,0.28568641293088437,17.284873281294818,0.037954536757521765,0.03900408472936892,3.1617375007965135e-08,6.0099741486988524e-05,8.923239114069874e-05,0.0001644029108818805,0.001507281327507662,0.08840988820523603,0.005658478926715019,0.0032046302844065213,0.09128107879636302,1.1548590634587308e-05,1.3873358254997041,0.01200125080181177,7.500074189649819,-4.88040163837411e-13,0.45157696234161854,20.53719846803107,20.98877543037269,1.3873473740903388,22.37612280446303,71361.83646326714,416.20421222710166,71778.04067549425,0.12241300359620637,21.1111884339689
2.0,0.015738607988029667,0.005398765001517178,0.14813402799473183,0.012149193187840522,0.014062772353585834,0.01909240802005463,0.1039127861441426,2.844391218090016e-07,0.03853484019242628,0.09351705806451387,0.09425775670812354,0.13097237992540844,0.10816868094988547,0.026402699018169894,0.08199357907298098,0.05699479974558926,0.3198221389879233,0.9308217528029837,0.34508014492472827,0.33602487965282324,0.10173877542754647,0.6820307676608873,0.287907765582142,17.373380397237174,0.03601367151194202,0.037283572645078096,3.176156792032945e-08,5.8275458002151294e-05,8.770661390493787e-05,0.00017005873692297078,0.0016206789326977495,0.08786763716223228,0.005649420902281585,0.003182875553718599,0.09107488115440494,1.2243826639971693e-05,1.3970711241535518,0.01197538427839258,7.498098066624681,-4.3214043454753437e-13,0.4879960652468588,20.650366381062835,21.138362446309692,1.3970833679801917,22.535445814289883,71870.43231745296,419.12501039405754,72289.55732784701,0.12327206188060516,21.261634508190298
3.0,0.014337412615217624,0.0058560933243910615,0.13346429774541402,0.013137847711187976,0.015036843592395892,0.019596352355681072,0.10666990927369184,2.806861970080805e-07,0.03881027175099911,0.09334162427863044,0.09441874692293757,0.13109192941134473,0.10859446488303183,0.024452072709861637,0.08914097426012135,0.05249593383323042,0.323872860113287,0.9340980027848053,0.35047171472533867,0.33730103429962033,0.10234521930131149,0.6874034321423198,0.29057285860292487,17.443569903763894,0.034172055479317676,0.03563987347423985,3.1519199546072936e-08,6.301879445624624e-05,9.378320767668551e-05,0.00017455063656950635,0.0016637036193919445,0.08774324978701534,0.005598374491615099,0.0032119944878351886,0.09120675243510239,1.2067404014135106e-05,1.4052349722896584,0.011866253408914238,7.501424820279491,-9.657205590762885e-13,0.4780012384665204,20.744318471419746,21.222319709886268,1.4052470396936725,22.62756674957994,72155.8870136133,421.57411190810177,72577.46112552141,0.12399238585532404,21.34631209574159
4.0,0.014404970706968313,0.005536852120602579,0.13307707736667926,0.012397897527877271,0.01425626683337144,0.018738265257372943,0.1013217766058051,2.7404813998084003e-07,0.038619092389555416,0.09318735888525062,0.09436728183504117,0.13119076437488902,0.10913480320848823,0.024871380086168057,0.08435401195837083,0.05355836326229942,0.3276837031777619,0.9344276065081983,0.3549724271253764,0.337771822844713,0.10279120071763181,0.6914917162029401,0.29260654455712615,17.50372248943449,0.03242461339422173,0.034078743856203915,3.148731071511836e-08,5.946958546650093e-05,8.891502138153937e-05,0.0001669077975493203,0.0015802930365999368,0.08760355264652708,0.005583806238723538,0.003213384188417562,0.09115389764662361,1.1833433819907872e-05,1.403703660142548,0.011837927260841792,7.501864430232272,8.61644089411584e-13,0.4695432372312613,20.817386069083565,21.286929306314825,1.403715493576368,22.690644799891192,72375.5596414704,421.1146480729104,72796.67428954331,0.12385724943320894,21.410786555748032
5.0,0.014126347416475707,0.005718609238837506,0.1291615620126878,0.012799171209846257,0.014676038009355217,0.01908360613799992,0.10250184169759387,2.745639981949822e-07,0.03872435849532092,0.09306995727124769,0.09444325361641692,0.13140156583202264,0.10968876493941015,0.0246658382263381,0.08726909151960596,0.05288312795462928,0.3311016832693332,0.9363635422289429,0.35908972208286993,0.3386181104625836,0.10325094810057416,0.6955120577911563,0.2946286596880918,17.58538942277955,0.030766529522975667,0.03260236081094429,3.157777872376175e-08,6.139399248420929e-05,9.153254459585206e-05,0.0001699826983938603,0.001598689950232012,0.08747812550910979,0.0055918317621379,0.0032070705201518385,0.09123618309626508,1.1826594225002464e-05,1.4045523680515164,0.011853513443900015,7.500618422837598,2.165559398470407e-13,0.468193374614138,20.918460969043085,21.386654343657224,1.4045641946457414,22.791218538302964,72714.62476843456,421.3692583937224,73135.99402682828,0.12393213482168307,21.510586478478906
6.0,0.014113423115587087,0.00579869051454819,0.12780790497377906,0.01297941229792374,0.014875664916950238,0.01929884165861515,0.10348211949962112,2.7543634050410636e-07,0.038833064523908375,0.09305646614095073,0.0946168468944682,0.13151529132072146,0.1102791860426387,0.024898101578534535,0.0887916714666875,0.05307335274617519,0.3344536282483125,0.939426273863569,0.36283790958751894,0.3398676628717957,0.10380061096833747,0.699827536162383,0.2967090220102343,17.714097932587133,0.029193234391504685,0.031193776679696545,3.159155445877928e-08,6.225849583254306e-05,9.277750668726828e-05,0.00017189967880850454,0.0016139777685281482,0.08746315248723227,0.005593313653718457,0.0032116118573275974,0.0914052350371406,1.183899306479103e-05,1.405992591819055,0.011855424430824968,7.500429004159398,-4.012554177812433e-13,0.46870468825799494,21.06806288813332,21.536767576391313,1.4060044308121198,22.942772007203434,73225.00975973047,421.80132924363596,73646.81108897411,0.12405921448342234,21.660826790874737
7.0,0.011314828763258344,0.005409757248550878,0.09585494919636864,0.011949282419598958,0.013560400910881884,0.016620741853873026,0.0849799503319817,2.3583018784043533e-07,0.03777827668886298,0.09298676489395363,0.0945381740491972,0.1316230479727176,0.11075255037522584,0.020047269942758374,0.08286685916839324,0.04219084114248865,0.3331467806685921,0.9382645647031467,0.36274510626089657,0.33952308820006283,0.10371179203752277,0.6999620975720244,0.29638657588429,17.730509138025912,0.027700392194578306,0.029866899915378914,3.103184980613148e-08,5.7319579505773925e-05,8.457753254056032e-05,0.00014805142707689193,0.0013254478676639266,0.08749081008052143,0.005495954813432208,0.0032648205945692253,0.09127335345462798,1.0410339253521451e-05,1.398792322130546,0.011664085428921054,7.508192335384224,-7.198200369096242e-13,0.40909147121628187,21.060106663981315,21.469198135197598,1.3988027324697996,22.868000867667398,72995.27365967183,419.6408197409399,73414.91447941276,0.12342377051204115,21.59262190570964
8.0,0.012684783014893652,0.0059977283938467095,0.10961527306411026,0.01336866388479341,0.015182505565442803,0.018987937147098406,0.09879135418257111,2.626432288986122e-07,0.03853710452941383,0.0930847640471162,0.09493667245358309,0.1319315222073349,0.11101409426542862,0.022380833284960724,0.09215404703437936,0.04760384215969197,0.3333182217029966,0.9431712778036984,0.3621594428518559,0.3410133546409476,0.10398186419521349,0.7009631550836684,0.296856771658765,17.80487166916596,0.0262838888436678,0.0286041538399092,3.1460522004603465e-08,6.412623087829026e-05,9.469205568391719e-05,0.000169132048362034,0.0015408289732510472,0.08751156654709169,0.00557319750002451,0.003235431916276412,0.09170124053730667,1.1365174020006245e-05,1.4033610700154913,0.0118168150888819,7.502234075678466,2.6566249200499215e-13,0.445097134632734,21.159488573847565,21.6045857084803,1.4033724351895114,23.00795814366981,73455.59140883302,421.0117305568534,73876.60313938987,0.12382697957554513,21.728412688055844
9.0,0.01226744573897478,0.005474789041954619,0.10603635629966018,0.012146213388035306,0.013837427515029106,0.017329144436141662,0.08987230776071645,2.4772901668985755e-07,0.03804954345352504,0.09303489358659961,0.09492694707586309,0.13203693277142686,0.11125706719264977,0.02166722051252663,0.08421525820018673,0.0461266988787148,0.333188722942719,0.9429909603113151,0.3621537226922718,0.3410970722534602,0.1040463350707317,0.7014191989754666,0.29688786831195824,17.808755318108,0.02493982063117909,0.02741561901877854,3.127257910074982e-08,5.8263224694773334e-05,8.630399207434156e-05,0.00015435880707562424,0.0014017355050565845,0.0874959768706392,0.005538916715960407,0.003253876441600917,0.09167307063426218,1.0844636179746962e-05,1.39916878652192,0.011750650423221135,7.5048363003037615,2.7085972353901866e-13,0.42705040813448075,21.153805443449997,21.580855851584477,1.3991796311580997,22.980035482742576,73374.90989538722,419.75388934742995,73794.66378473464,0.12345702627865587,21.704312877863135
