time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q,T (C),S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
13,0.00233124431543225,0.015613548641426512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008304294891925365,0.001561916590776302,0.021559650543620284,0.0,1.927993090999566,11.252938586948659,3.9815662577184914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.681662187389092,0.0,0.005917524895568511,261.69061156125264,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.011295857620679322,0.012934613008128322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008559504702845385,0.001692562724821052,0.01735666968438623,0.0,1.5881222449383163,10.281149928171084,3.283516940068789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.80886113908254,0.0,0.005992419420459979,314.0725872533707,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0035230219712064897,0.020043671188317718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008320584212303292,0.0012993853503055937,0.01925660588975621,0.0,1.7542082381392474,7.942227870100596,3.6840752852918723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.461196478016456,0.0,0.006127115716017729,368.47096353791966,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0019709805021311875,0.022523765586795638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010129239986841657,0.002900758073228812,0.013928904898376978,0.0,1.5205733791710065,7.777206842866025,3.198454810223158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.946687731758896,0.0,0.006112756630347636,377.16093853450667,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.001577226714099573,0.0277153824257583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008378195030841343,0.0012692560367499166,0.015266862252848833,0.0,2.0401673654982537,9.160905637733551,4.29735139503447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0788769865228,0.0,0.006106256090885051,323.98346745235375,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.00020360601296957293,0.032768408802988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008320514673109104,0.0016157133198562398,0.02561215350352602,0.0,2.772908993539239,12.901700306117403,5.878801921123391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.251509759796415,0.0,0.005712143801693261,235.91185800994765,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.00019158666841263543,0.030548383893836698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008330072684087345,0.0019418526595821979,0.029886947652937302,0.0,3.525741360984567,15.112574761770738,7.508109457722618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.303706947604173,0.0,0.005420781781673604,171.83410268120406,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4.680555180022917e-05,0.028940745363878143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009398804836094501,0.0027644152413196874,0.030133603417007396,0.0,2.8035624348533417,14.507285749413535,5.884615641450299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.297160766667977,0.0,0.005574901520513584,175.6866187659649,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.009626694913939615,0.03447114161196312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007995795919062115,0.0018213623696594168,0.030969918217997165,0.0,4.194505545822124,15.760091628448192,9.054932963619125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.96945429938498,0.0,0.0052634398068144165,178.3635917657757,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0010262508263290625,0.038718791889503425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008409194897916292,0.0022204168080353854,0.030367733332830663,0.0,3.683079022699774,15.878894530354225,7.941101962310245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.989361203522632,0.0,0.005227470090282197,191.63376667908543,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.013180403312626647,0.03269577281188268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007934180704629552,0.0018561449657646875,0.03034259364315731,0.0,4.5471684572197075,16.874849313545106,9.842555576724811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93863327983063,0.0,0.005187717853163135,175.50067024171804,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.008304677633350896,0.03725488756561745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008007547026084364,0.0018744029468775,0.028151760758171666,0.0,4.025697634276245,16.268931788712774,8.710267751394124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.93768212698193,0.0,0.005240222560731583,183.6323698391999,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0012868997070160312,0.04539476295469639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008436424324670032,0.0025185739011905624,0.027726466978435782,0.0,4.396411362534476,16.301929069074294,9.565839464277513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.441449271455824,0.0,0.004995915409666531,182.2691754307258,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.004016490863313385,0.03707053663200917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008312938666800574,0.0023615465516905834,0.029509129556755772,0.0,3.635170631791033,17.384937641156107,7.7406162233991855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.94436033908543,0.0,0.005065813761381438,153.63635928935852,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4.867435025289583e-05,0.029948241442220584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007953111382153344,0.001899821370168729,0.02978074248585549,0.0,3.708671768909666,16.67285617770159,7.887250583822812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.694715195510923,0.0,0.005223628917194676,152.28831147014358,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0005255694387886353,0.04343642145903743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007949117333018323,0.0020206088636604063,0.030190510065619573,0.0,4.283313997688839,17.810222061710693,9.239749336782415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93197608917632,0.0,0.005096540130976604,169.72553783448885,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.006404765757235489,0.04423676574827101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007890811925618354,0.0021014175860373436,0.027053952839598955,0.0,4.67606053289641,16.693070441610143,10.163546581675089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8864066163495,0.0,0.004960382602737469,176.42902404825892,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
